new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[1, 1]",1.0,"[7.012677, 7.3034487]","[(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869), (23412, 11, 7869), (23412, 3, 2043), (4912, 3, 2043), (4912, 3, 75), (24926, 3, 75), (24926, 11, 7869)]","(4912, 11, 7869)",1,9,7.3935227,all,7.158063
"[1, 1]",1.0,"[7.3129168, 7.3147106]","[(25356, 11, 7869), (7407, 3, 6), (25356, 3, 6), (7407, 3, 40), (22305, 11, 7869), (22305, 3, 40), (7407, 3, 39), (25610, 3, 39), (25610, 11, 7869)]","(7407, 11, 7869)",1,9,7.057395,all,7.3138137
"[1, 1]",1.0,"[6.8469563, 7.1514683]","[(5849, 3, 6), (13995, 11, 7869), (13995, 3, 6), (8230, 3, 418), (5849, 3, 418), (8230, 11, 7869), (10061, 3, 88), (5849, 3, 88), (10061, 11, 7869)]","(5849, 11, 7869)",2,9,6.2528124,all,6.9992123
"[12, 18]",15.0,"[4.35992, 4.005745]","[(9442, 3, 94), (9442, 12, 9444), (5305, 3, 94), (9442, 12, 9444), (5305, 3, 6), (9442, 3, 6), (9442, 3, 41), (5305, 3, 41), (9442, 12, 9444)]","(5305, 12, 9444)",1,9,7.808302,all,4.1828327
"[2, 2]",2.0,"[6.251912, 5.501756]","[(6853, 3, 1839), (25070, 11, 8038), (25070, 3, 1839), (20115, 3, 651), (20115, 11, 8038), (6853, 3, 651), (6853, 3, 1839), (22601, 3, 1839), (22601, 11, 8038)]","(6853, 11, 8038)",1,9,6.491535,all,5.876834
"[1, 1]",1.0,"[9.741771, 8.783089]","[(6219, 3, 100), (20237, 9, 7790), (20237, 3, 100), (21168, 3, 2558), (6219, 3, 2558), (21168, 9, 7790), (6219, 3, 100), (20150, 3, 100), (20150, 9, 7790)]","(6219, 9, 7790)",1,9,9.5396805,all,9.26243
"[1, 1]",1.0,"[6.096567, 5.9137497]","[(7125, 3, 9), (8416, 3, 9), (8416, 11, 8038), (7125, 3, 9), (21341, 3, 9), (21341, 11, 8038), (12691, 3, 78), (7125, 3, 78), (12691, 11, 8038)]","(7125, 11, 8038)",1,9,5.990065,all,6.0051584
"[1, 1]",1.0,"[8.304125, 7.9468956]","[(14237, 9, 7903), (14237, 3, 418), (7236, 3, 418), (14237, 9, 7903), (14237, 2, 1188), (7236, 2, 1188), (16337, 2, 1188), (16337, 9, 7903), (7236, 2, 1188)]","(7236, 9, 7903)",1,9,8.511835,all,8.12551
"[3, 3]",3.0,"[5.8564577, 5.560335]","[(5834, 3, 40), (21072, 11, 6729), (21072, 3, 40), (25489, 11, 6729), (5834, 3, 40), (25489, 3, 40), (5834, 3, 40), (24840, 3, 40), (24840, 11, 6729)]","(5834, 11, 6729)",2,9,6.3059583,all,5.7083964
"[2, 2]",2.0,"[7.246185, 7.3533783]","[(20058, 9, 8151), (6054, 3, 177), (20058, 3, 177), (19491, 9, 8151), (19491, 3, 177), (6054, 3, 177), (25631, 9, 8151), (6054, 3, 177), (25631, 3, 177)]","(6054, 9, 8151)",1,9,7.925308,all,7.299782
"[2, 1]",1.5,"[5.5689754, 5.900584]","[(23503, 3, 9), (23503, 11, 7992), (5844, 3, 9), (5844, 4, 66), (5844, 3, 476)]","(5844, 11, 7992)",1,5,6.604808,all,5.73478
"[49, 37]",43.0,"[3.9614334, 3.8355718]","[(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095), (16696, 3, 7), (7365, 3, 7), (16696, 12, 6095), (16696, 3, 276), (7365, 3, 276), (16696, 12, 6095)]","(7365, 12, 6095)",2,9,7.641706,all,3.8985026
"[1, 1]",1.0,"[7.1624794, 6.384305]","[(5380, 3, 10), (12402, 11, 8038), (12402, 3, 10), (9668, 11, 8038), (5380, 4, 66), (9668, 4, 66), (5380, 3, 10), (8092, 3, 10), (8092, 11, 8038)]","(5380, 11, 8038)",1,9,6.7899523,all,6.773392
"[5, 1]",3.0,"[4.9659624, 6.036943]","[(5133, 3, 4866), (10165, 3, 4866), (10165, 9, 10166), (5133, 2, 5135), (10165, 9, 10166), (10165, 2, 5135), (10165, 9, 10166), (5133, 3, 4194), (10165, 3, 4194)]","(5133, 9, 10166)",1,9,6.655379,all,5.5014524
"[1, 1]",1.0,"[5.6958103, 6.598832]","[(4952, 3, 6), (15349, 11, 7869), (15349, 3, 6), (25566, 3, 6), (4952, 3, 6), (25566, 11, 7869), (4952, 3, 6), (24235, 3, 6), (24235, 11, 7869)]","(4952, 11, 7869)",1,9,5.530306,all,6.147321
"[3, 4]",3.5,"[6.0840387, 5.441811]","[(19035, 11, 6729), (4978, 3, 40), (19035, 3, 40), (4978, 3, 40), (21394, 3, 40), (21394, 11, 6729), (19035, 2, 172), (4978, 2, 172), (19035, 11, 6729)]","(4978, 11, 6729)",1,9,6.7241745,all,5.762925
"[2, 2]",2.0,"[5.6866665, 6.0609264]","[(17411, 11, 7984), (4757, 2, 30), (17411, 2, 30), (17411, 11, 7984), (4757, 3, 6), (17411, 3, 6), (4757, 2, 30), (18740, 2, 30), (18740, 11, 7984)]","(4757, 11, 7984)",4,9,5.4328356,all,5.8737965
"[1, 1]",1.0,"[9.44635, 8.619562]","[(7392, 3, 100), (17937, 9, 7790), (17937, 3, 100), (7392, 2, 29), (17937, 9, 7790), (17937, 2, 27), (7392, 2, 27)]","(7392, 9, 7790)",1,7,9.634243,all,9.032956
